state,breakpoint_1,breakpoint_2,breakpoint_3,breakpoint_4,breakpoint_5,breakpoint_6,breakpoint_7,breakpoint_8,breakpoint_9,breakpoint_10,breakpoint_11,breakpoint_12
AL,0.0,1000.0,6000.0,,,,,,,,,
AK,,,,,,,,,,,,
AZ,0.0,,,,,,,,,,,
AR,0.0,4500.0,,,,,,,,,,
CA,0.0,21512.0,50998.0,80490.0,111732.0,141732.0,721318.0,865574.0,1000000.0,1442628.0,,
CO,0.0,,,,,,,,,,,
CT,0.0,20000.0,100000.0,200000.0,400000.0,500000.0,1000000.0,,,,,
DE,2000.0,5000.0,10000.0,20000.0,25000.0,60000.0,,,,,,
FL,,,,,,,,,,,,
GA,0.0,,,,,,,,,,,
HI,0.0,19200.0,28800.0,38400.0,48000.0,72000.0,96000.0,250000.0,350000.0,450000.0,550000.0,650000.0
ID,9346.0,,,,,,,,,,,
IL,0.0,,,,,,,,,,,
IN,0.0,,,,,,,,,,,
IA,0.0,,,,,,,,,,,
KS,0.0,46000.0,,,,,,,,,,
KY,0.0,,,,,,,,,,,
LA,0.0,,,,,,,,,,,
ME,0.0,53600.0,126900.0,,,,,,,,,
MD,0.0,1000.0,2000.0,3000.0,150000.0,175000.0,225000.0,300000.0,,,,
MA,0.0,1083150.0,,,,,,,,,,
MI,0.0,,,,,,,,,,,
MN,0.0,47620.0,189180.0,330410.0,,,,,,,,
MS,10000.0,,,,,,,,,,,
MO,1313.0,2626.0,3939.0,5252.0,6565.0,7878.0,9191.0,,,,,
MT,0.0,42200.0,,,,,,,,,,
NE,0.0,8040.0,48250.0,77730.0,,,,,,,,
NV,,,,,,,,,,,,
NH,,,,,,,,,,,,
NJ,0.0,20000.0,50000.0,70000.0,80000.0,150000.0,500000.0,1000000.0,,,,
NM,0.0,8000.0,25000.0,50000.0,100000.0,315000.0,,,,,,
NY,0.0,17150.0,23600.0,27900.0,161550.0,323200.0,2155350.0,5000000.0,25000000.0,,,
NC,0.0,,,,,,,,,,,
ND,80975.0,298075.0,,,,,,,,,,
OH,26050.0,100000.0,,,,,,,,,,
OK,0.0,2000.0,5000.0,7500.0,9800.0,14400.0,,,,,,
OR,0.0,8800.0,22100.0,250000.0,,,,,,,,
PA,0.0,,,,,,,,,,,
RI,0.0,79900.0,181650.0,,,,,,,,,
SC,0.0,3560.0,17830.0,,,,,,,,,
SD,,,,,,,,,,,,
TN,,,,,,,,,,,,
TX,,,,,,,,,,,,
UT,0.0,,,,,,,,,,,
VT,0.0,79950.0,193300.0,294600.0,,,,,,,,
VA,0.0,3000.0,5000.0,17000.0,,,,,,,,
WA,,,,,,,,,,,,
WV,0.0,10000.0,25000.0,40000.0,60000.0,,,,,,,
WI,0.0,19580.0,39150.0,431060.0,,,,,,,,
WY,,,,,,,,,,,,
DC,0.0,10000.0,40000.0,60000.0,250000.0,500000.0,1000000.0,,,,,
