state,breakpoint_1,breakpoint_2,breakpoint_3,breakpoint_4,breakpoint_5,breakpoint_6,breakpoint_7,breakpoint_8,breakpoint_9,breakpoint_10,breakpoint_11,breakpoint_12
AL,0.0,500.0,3000.0,,,,,,,,,
AK,,,,,,,,,,,,
AZ,0.0,,,,,,,,,,,
AR,0.0,4500.0,,,,,,,,,,
CA,0.0,10756.0,25499.0,40245.0,55866.0,70606.0,360659.0,432787.0,721314.0,1000000.0,,
CO,0.0,,,,,,,,,,,
CT,0.0,10000.0,50000.0,100000.0,200000.0,250000.0,500000.0,,,,,
DE,2000.0,5000.0,10000.0,20000.0,25000.0,60000.0,,,,,,
FL,,,,,,,,,,,,
GA,0.0,,,,,,,,,,,
HI,0.0,9600.0,14400.0,19200.0,24000.0,36000.0,48000.0,125000.0,175000.0,225000.0,275000.0,325000.0
ID,4673.0,,,,,,,,,,,
IL,0.0,,,,,,,,,,,
IN,0.0,,,,,,,,,,,
IA,0.0,,,,,,,,,,,
KS,0.0,23000.0,,,,,,,,,,
KY,0.0,,,,,,,,,,,
LA,0.0,,,,,,,,,,,
ME,0.0,26800.0,63450.0,,,,,,,,,
MD,0.0,1000.0,2000.0,3000.0,100000.0,125000.0,150000.0,250000.0,,,,
MA,0.0,1083150.0,,,,,,,,,,
MI,0.0,,,,,,,,,,,
MN,0.0,32570.0,106990.0,198630.0,,,,,,,,
MS,10000.0,,,,,,,,,,,
MO,1313.0,2626.0,3939.0,5252.0,6565.0,7878.0,9191.0,,,,,
MT,0.0,21100.0,,,,,,,,,,
NE,0.0,4030.0,24120.0,38870.0,,,,,,,,
NV,,,,,,,,,,,,
NH,,,,,,,,,,,,
NJ,0.0,20000.0,35000.0,40000.0,75000.0,500000.0,1000000.0,,,,,
NM,0.0,5500.0,16500.0,33500.0,66500.0,210000.0,,,,,,
NY,0.0,8500.0,11700.0,13900.0,80650.0,215400.0,1077550.0,5000000.0,25000000.0,,,
NC,0.0,,,,,,,,,,,
ND,48475.0,244825.0,,,,,,,,,,
OH,26050.0,100000.0,,,,,,,,,,
OK,0.0,1000.0,2500.0,3750.0,4900.0,7200.0,,,,,,
OR,0.0,4400.0,11050.0,125000.0,,,,,,,,
PA,0.0,,,,,,,,,,,
RI,0.0,79900.0,181650.0,,,,,,,,,
SC,0.0,3560.0,17830.0,,,,,,,,,
SD,,,,,,,,,,,,
TN,,,,,,,,,,,,
TX,,,,,,,,,,,,
UT,0.0,,,,,,,,,,,
VT,0.0,47900.0,116000.0,242000.0,,,,,,,,
VA,0.0,3000.0,5000.0,17000.0,,,,,,,,
WA,,,,,,,,,,,,
WV,0.0,10000.0,25000.0,40000.0,60000.0,,,,,,,
WI,0.0,14680.0,29370.0,323290.0,,,,,,,,
WY,,,,,,,,,,,,
DC,0.0,10000.0,40000.0,60000.0,250000.0,500000.0,1000000.0,,,,,
