state,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10,rate_11,rate_12
AL,0.02,0.04,0.05,,,,,,,,,
AK,,,,,,,,,,,,
AZ,0.025,,,,,,,,,,,
AR,0.02,0.039,,,,,,,,,,
CA,0.01,0.02,0.04,0.06,0.08,0.093,0.103,0.113,0.123,0.133,,
CO,0.044,,,,,,,,,,,
CT,0.02,0.045,0.055,0.06,0.065,0.069,0.0699,,,,,
DE,0.022,0.039,0.048,0.052,0.0555,0.066,,,,,,
FL,,,,,,,,,,,,
GA,0.0539,,,,,,,,,,,
HI,0.014,0.032,0.055,0.064,0.068,0.072,0.076,0.079,0.0825,0.09,0.1,0.11
ID,0.05695,,,,,,,,,,,
IL,0.0495,,,,,,,,,,,
IN,0.03,,,,,,,,,,,
IA,0.038,,,,,,,,,,,
KS,0.052,0.0558,,,,,,,,,,
KY,0.04,,,,,,,,,,,
LA,0.03,,,,,,,,,,,
ME,0.058,0.0675,0.0715,,,,,,,,,
MD,0.02,0.03,0.04,0.0475,0.05,0.0525,0.055,0.0575,,,,
MA,0.05,0.09,,,,,,,,,,
MI,0.0425,,,,,,,,,,,
MN,0.0535,0.068,0.0785,0.0985,,,,,,,,
MS,0.044,,,,,,,,,,,
MO,0.02,0.025,0.03,0.035,0.04,0.045,0.047,,,,,
MT,0.047,0.059,,,,,,,,,,
NE,0.0246,0.0351,0.0501,0.052,,,,,,,,
NV,,,,,,,,,,,,
NH,,,,,,,,,,,,
NJ,0.014,0.0175,0.0245,0.035,0.05525,0.0637,0.0897,0.1075,,,,
NM,0.015,0.032,0.043,0.047,0.049,0.059,,,,,,
NY,0.04,0.045,0.0525,0.055,0.06,0.0685,0.0965,0.103,0.109,,,
NC,0.0425,,,,,,,,,,,
ND,0.0195,0.025,,,,,,,,,,
OH,0.0275,0.035,,,,,,,,,,
OK,0.0025,0.0075,0.0175,0.0275,0.0375,0.0475,,,,,,
OR,0.0475,0.0675,0.0875,0.099,,,,,,,,
PA,0.0307,,,,,,,,,,,
RI,0.0375,0.0475,0.0599,,,,,,,,,
SC,0.0,0.03,0.062,,,,,,,,,
SD,,,,,,,,,,,,
TN,,,,,,,,,,,,
TX,,,,,,,,,,,,
UT,0.0455,,,,,,,,,,,
VT,0.0335,0.066,0.076,0.0875,,,,,,,,
VA,0.02,0.03,0.05,0.0575,,,,,,,,
WA,,,,,,,,,,,,
WV,0.0222,0.0296,0.0333,0.0444,0.0482,,,,,,,
WI,0.035,0.044,0.053,0.0765,,,,,,,,
WY,,,,,,,,,,,,
DC,0.04,0.06,0.065,0.085,0.0925,0.0975,0.1075,,,,,
